"ano_ingresso","ano","media_final","descricao","nome","ch_total","status"
2009.0,20091.0,0.0,-1.0,1.0,90.0,-1.0
2009.0,20091.0,0.0,-1.0,1.0,90.0,-1.0
2009.0,20091.0,1.1,-1.0,1.0,90.0,-1.0
2009.0,20091.0,7.3,1.0,1.0,90.0,-1.0
2009.0,20091.0,10.0,1.0,1.0,90.0,-1.0
2009.0,20091.0,7.0,1.0,1.0,90.0,-1.0
2009.0,20091.0,7.4,1.0,1.0,90.0,-1.0
2009.0,20091.0,7.7,1.0,1.0,90.0,-1.0
2009.0,20091.0,5.9,1.0,1.0,90.0,-1.0
2009.0,20091.0,7.1,1.0,1.0,90.0,-1.0
2009.0,20091.0,5.0,1.0,1.0,90.0,-1.0
2009.0,20091.0,9.5,1.0,1.0,90.0,-1.0
2009.0,20091.0,5.0,1.0,1.0,90.0,-1.0
2009.0,20091.0,6.5,1.0,1.0,90.0,-1.0
2009.0,20091.0,10.0,1.0,1.0,90.0,-1.0
2009.0,20091.0,7.4,1.0,1.0,90.0,-1.0
2009.0,20091.0,5.2,1.0,1.0,90.0,-1.0
2009.0,20091.0,7.0,1.0,1.0,90.0,-1.0
2009.0,20091.0,5.2,1.0,1.0,90.0,-1.0
2009.0,20091.0,8.5,1.0,1.0,90.0,-1.0
2009.0,20091.0,7.0,1.0,1.0,90.0,1.0
2009.0,20091.0,1.5,-1.0,1.0,90.0,-1.0
2009.0,20091.0,3.5,-1.0,1.0,90.0,-1.0
2009.0,20091.0,8.8,1.0,1.0,90.0,-1.0
2009.0,20091.0,9.8,1.0,1.0,90.0,1.0
2009.0,20091.0,7.3,1.0,1.0,90.0,1.0
2009.0,20091.0,8.8,1.0,1.0,90.0,1.0
2009.0,20091.0,7.1,1.0,1.0,90.0,1.0
2009.0,20091.0,7.3,1.0,1.0,90.0,1.0
2009.0,20091.0,3.5,-1.0,1.0,90.0,-1.0
2009.0,20091.0,6.6,1.0,1.0,90.0,1.0
2009.0,20091.0,1.4,-1.0,1.0,90.0,-1.0
2009.0,20091.0,9.2,1.0,1.0,90.0,1.0
2009.0,20091.0,9.5,1.0,1.0,90.0,1.0
2009.0,20091.0,5.2,1.0,1.0,90.0,-1.0
2009.0,20091.0,7.8,1.0,1.0,90.0,-1.0
2009.0,20091.0,8.0,1.0,1.0,90.0,1.0
2009.0,20091.0,9.8,1.0,1.0,90.0,1.0
2009.0,20091.0,9.3,1.0,1.0,90.0,-1.0
2009.0,20091.0,8.6,1.0,1.0,90.0,1.0
2009.0,20091.0,6.7,1.0,1.0,90.0,-1.0
2009.0,20091.0,10.0,1.0,1.0,90.0,-1.0
2009.0,20091.0,8.4,1.0,1.0,90.0,1.0
2009.0,20091.0,8.0,1.0,1.0,90.0,-1.0
2009.0,20091.0,8.3,1.0,1.0,90.0,-1.0
2009.0,20091.0,5.9,1.0,1.0,90.0,1.0
2009.0,20091.0,7.3,1.0,1.0,90.0,-1.0
2009.0,20091.0,7.1,1.0,1.0,90.0,-1.0
2009.0,20091.0,5.0,1.0,1.0,90.0,-1.0
2009.0,20091.0,6.5,1.0,1.0,90.0,1.0
2009.0,20091.0,5.3,1.0,1.0,90.0,1.0
2009.0,20091.0,8.4,1.0,12.0,60.0,-1.0
2009.0,20091.0,9.8,1.0,12.0,60.0,-1.0
2009.0,20091.0,9.4,1.0,12.0,60.0,-1.0
2009.0,20091.0,9.1,1.0,12.0,60.0,-1.0
2009.0,20091.0,7.4,1.0,12.0,60.0,-1.0
2009.0,20091.0,9.5,1.0,12.0,60.0,-1.0
2009.0,20091.0,7.6,1.0,12.0,60.0,-1.0
2009.0,20091.0,8.0,1.0,12.0,60.0,-1.0
2009.0,20091.0,8.2,1.0,12.0,60.0,1.0
2009.0,20091.0,7.4,1.0,12.0,60.0,-1.0
2009.0,20091.0,8.2,1.0,12.0,60.0,1.0
2009.0,20091.0,8.7,1.0,12.0,60.0,1.0
2009.0,20091.0,9.1,1.0,12.0,60.0,1.0
2009.0,20091.0,9.2,1.0,12.0,60.0,1.0
2009.0,20091.0,1.5,-1.0,12.0,60.0,-1.0
2009.0,20091.0,8.7,1.0,12.0,60.0,-1.0
2009.0,20091.0,8.5,1.0,12.0,60.0,1.0
2009.0,20091.0,9.5,1.0,12.0,60.0,-1.0
2009.0,20091.0,8.3,1.0,12.0,60.0,1.0
2009.0,20091.0,10.0,1.0,12.0,60.0,-1.0
2009.0,20091.0,9.8,1.0,12.0,60.0,1.0
2009.0,20091.0,7.0,1.0,12.0,60.0,1.0
2009.0,20091.0,7.9,1.0,12.0,60.0,-1.0
2009.0,20091.0,8.2,1.0,12.0,60.0,-1.0
2009.0,20091.0,9.6,1.0,12.0,60.0,-1.0
2009.0,20091.0,0.0,-1.0,12.0,60.0,-1.0
2009.0,20091.0,0.0,-1.0,12.0,60.0,-1.0
2009.0,20091.0,0.0,-1.0,12.0,60.0,-1.0
2009.0,20091.0,9.4,1.0,12.0,60.0,-1.0
2009.0,20091.0,7.5,1.0,12.0,60.0,-1.0
2009.0,20091.0,7.9,1.0,12.0,60.0,-1.0
2009.0,20091.0,8.4,1.0,12.0,60.0,-1.0
2009.0,20091.0,7.9,1.0,12.0,60.0,-1.0
2009.0,20091.0,7.0,1.0,12.0,60.0,-1.0
2009.0,20091.0,8.5,1.0,12.0,60.0,-1.0
2009.0,20091.0,6.6,1.0,12.0,60.0,-1.0
2009.0,20091.0,9.3,1.0,12.0,60.0,1.0
2009.0,20091.0,9.0,1.0,12.0,60.0,1.0
2009.0,20091.0,8.0,1.0,12.0,60.0,1.0
2009.0,20091.0,8.5,1.0,12.0,60.0,-1.0
2009.0,20091.0,9.5,1.0,12.0,60.0,-1.0
2009.0,20091.0,10.0,1.0,12.0,60.0,1.0
