"permanencia","taxa_reprovacao","permanencia_por_semestre","quant_matricula","status"
0.18,0.0,0.12,5.0,-1
1.18,0.44,1.12,33.0,-1
0.48,0.31,0.38,13.0,-1
1.26,0.23,1.25,36.0,1
0.13,0.0,0.38,4.0,-1
0.18,1.0,0.12,5.0,-1
0.21,0.38,0.25,6.0,-1
1.21,0.18,1.5,35.0,1
0.33,0.35,0.62,9.0,1
1.23,0.31,1.38,34.0,-1
0.72,0.52,0.88,20.0,-1
0.54,0.55,0.62,15.0,-1
0.48,0.14,0.38,14.0,-1
0.84,0.31,0.88,23.0,-1
1.13,0.12,1.0,33.0,-1
0.52,0.44,0.5,14.0,-1
0.89,0.11,0.88,24.0,-1
0.59,0.06,0.62,16.0,-1
0.18,0.0,0.12,5.0,-1
0.64,0.0,0.5,18.0,-1
0.85,0.19,0.88,23.0,-1
0.18,1.0,0.12,5.0,-1
1.31,0.18,1.5,38.0,1
0.56,0.62,0.5,15.0,1
0.3,0.0,0.25,8.0,1
1.31,0.16,1.38,38.0,1
0.3,0.0,0.25,8.0,1
0.18,0.0,0.12,5.0,-1
1.46,0.31,1.25,41.0,1
0.66,0.12,0.62,18.0,-1
1.0,0.0,1.0,29.0,1
1.23,0.13,1.38,36.0,1
1.05,0.05,1.12,30.0,1
0.18,1.0,0.12,5.0,-1
0.87,0.08,1.0,24.0,1
1.08,0.08,1.12,31.0,1
1.0,0.0,1.0,29.0,1
1.21,0.18,1.5,35.0,1
1.39,0.28,1.25,39.0,1
1.1,0.12,1.0,31.0,1
0.93,0.49,0.88,26.0,-1
0.11,1.0,0.12,3.0,-1
0.18,0.0,0.12,5.0,-1
0.18,1.0,0.12,5.0,-1
0.38,0.22,0.62,10.0,-1
0.9,0.78,0.88,25.0,-1
0.18,0.73,0.12,5.0,1
1.25,0.05,1.5,36.0,-1
1.13,0.12,1.0,33.0,-1
0.36,0.36,0.25,10.0,-1
0.18,0.0,0.12,5.0,-1
0.66,0.72,0.88,17.0,-1
0.3,0.0,0.25,8.0,1
0.84,0.0,0.88,24.0,1
0.7,0.44,0.75,19.0,-1
1.13,0.28,1.12,31.0,-1
0.64,0.0,0.5,18.0,1
0.67,0.0,0.5,19.0,1
0.31,0.37,0.25,8.0,-1
0.48,0.31,0.5,13.0,1
0.59,0.17,0.5,16.0,-1
0.18,0.82,0.12,5.0,-1
0.57,0.26,0.5,16.0,-1
1.07,0.0,1.0,31.0,1
0.18,1.0,0.12,5.0,-1
0.33,0.3,0.25,9.0,-1
1.03,0.03,1.0,30.0,1
0.34,0.24,0.38,9.0,-1
0.18,1.0,0.12,5.0,-1
