id_discente;sexo;ano_nascimento;raca;estado_origem;cidade_origem;estado;municipio;bairro;nivel_ensino;curso;forma_ingresso;ano_ingresso;periodo_ingresso;status;cotista;tipo_cota;descricao_tipo_cota
ba5a4542a911da465e9233fafaa290da;M;1989;Branco;Rio Grande do Norte;CAICÓ;Rio Grande do Norte;NATAL;NOSSA SENHORA DE NAZARÉ;GRADUAÇÃO;SISTEMAS DE INFORMAÇÃO;VESTIBULAR;2009;1;CANCELADO;f;;
afba64c0118bfcc8d5b3987e725ed545;M;1987;Não Informado;Rio Grande do Norte;CAICÓ;Rio Grande do Norte;CAICÓ;Barra Nova;GRADUAÇÃO;SISTEMAS DE INFORMAÇÃO;VESTIBULAR;2009;1;CANCELADO;f;;
b95db9a2c09a33fadd21ad613747314b;M;1986;Não Informado;Rio Grande do Norte;CAICÓ;Rio Grande do Norte;CAICÓ;RECREIO;GRADUAÇÃO;SISTEMAS DE INFORMAÇÃO;VESTIBULAR;2009;1;CANCELADO;f;;
b3e68a0e40c1080434a52ea27b8abdcc;M;1981;Branco;Rio Grande do Norte;CAICÓ;Rio Grande do Norte;CAICÓ;NOVA CAICÓ;GRADUAÇÃO;SISTEMAS DE INFORMAÇÃO;VESTIBULAR;2009;1;CANCELADO;f;;
5261c593ab70ec665397dee1b0bfc5ca;M;1982;Branco;Rio Grande do Norte;NATAL;Rio Grande do Norte;CAICÓ;ZONA RURAL;GRADUAÇÃO;SISTEMAS DE INFORMAÇÃO;VESTIBULAR;2009;1;CANCELADO;f;;
bee926721a5b23a098fdfb850bf8d5b5;M;1983;Não Informado;Rio Grande do Norte;CAICÓ;Rio Grande do Norte;JARDIM DE PIRANHAS;SÃO JOSÉ;GRADUAÇÃO;SISTEMAS DE INFORMAÇÃO;VESTIBULAR;2009;1;CANCELADO;f;;
d1cc1d8d9326efc619dcd34db13bd13f;M;1987;Pardo;Rio Grande do Norte;CRUZETA;Rio Grande do Norte;CRUZETA;CENTRO;GRADUAÇÃO;SISTEMAS DE INFORMAÇÃO;VESTIBULAR;2009;1;CONCLUÍDO;f;;
a624ee44a3c11e410590e9c6082d3ad3;M;1989;Negro;Rio Grande do Norte;CURRAIS NOVOS;Rio Grande do Norte;CURRAIS NOVOS;JK;GRADUAÇÃO;SISTEMAS DE INFORMAÇÃO;VESTIBULAR;2009;1;CONCLUÍDO;f;;
6b6b7ab596fcf5922cdec961141cbbe3;M;1982;Não Informado;Paraíba;BREJO DO CRUZ;Paraíba;BREJO DO CRUZ;CENTRO;GRADUAÇÃO;SISTEMAS DE INFORMAÇÃO;VESTIBULAR;2009;1;CANCELADO;f;;
a9336a263db398f35a3fb203a84120c2;M;1980;Não Informado;Rio Grande do Norte;MACAU;Rio Grande do Norte;ALTO DO RODRIGUES;CENTRO;GRADUAÇÃO;SISTEMAS DE INFORMAÇÃO;VESTIBULAR;2009;1;CANCELADO;f;;
