"ano_ingresso","homem","mulher","ch_cumprida","ch_cumprida_dividida","ch_reprovacao","taxa_reprovacao","semestre_total","semestre_dividido","matricula","tempo_relativo"
2018,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2018,1,0,2160,1.18,960.0,0.44,9,1.12,33.0,-1.12
2011,1,0,870,0.48,270.0,0.31,3,0.38,13.0,-0.38
2016,1,0,2310,1.26,540.0,0.23,10,1.25,36.0,1.25
2020,1,0,240,0.13,0.0,0.0,3,0.38,4.0,-0.38
2018,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2012,1,0,390,0.21,150.0,0.38,2,0.25,6.0,-0.25
2016,1,0,2220,1.21,390.0,0.18,12,1.5,35.0,1.5
2020,1,0,600,0.33,210.0,0.35,5,0.62,9.0,0.62
2009,1,0,2250,1.23,690.0,0.31,11,1.38,34.0,-1.38
2015,1,0,1320,0.72,690.0,0.52,7,0.88,20.0,-0.88
2017,1,0,990,0.54,540.0,0.55,5,0.62,15.0,-0.62
2018,1,0,870,0.48,120.0,0.14,3,0.38,14.0,-0.38
2010,1,0,1530,0.84,480.0,0.31,7,0.88,23.0,-0.88
2010,1,0,2070,1.13,240.0,0.12,8,1.0,33.0,-1.0
2015,1,0,960,0.52,420.0,0.44,4,0.5,14.0,-0.5
2016,1,0,1620,0.89,180.0,0.11,7,0.88,24.0,-0.88
2014,1,0,1080,0.59,60.0,0.06,5,0.62,16.0,-0.62
2012,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2021,1,0,1170,0.64,0.0,0.0,4,0.5,18.0,-0.5
2010,1,0,1560,0.85,300.0,0.19,7,0.88,23.0,-0.88
2022,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2010,0,1,2400,1.31,420.0,0.18,12,1.5,38.0,1.5
2021,1,0,1020,0.56,630.0,0.62,4,0.5,15.0,0.5
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2009,1,0,2400,1.31,390.0,0.16,11,1.38,38.0,1.38
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2013,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2015,1,0,2670,1.46,840.0,0.31,10,1.25,41.0,1.25
2009,1,0,1200,0.66,150.0,0.12,5,0.62,18.0,-0.62
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2020,1,0,1530,0.84,60.0,0.04,7,0.88,24.0,0.88
2016,1,0,2250,1.23,300.0,0.13,11,1.38,36.0,1.38
2015,1,0,1920,1.05,90.0,0.05,9,1.12,30.0,1.12
2016,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2019,1,0,1590,0.87,120.0,0.08,8,1.0,24.0,1.0
2018,0,1,1980,1.08,150.0,0.08,9,1.12,31.0,1.12
2009,0,1,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2017,1,0,2220,1.21,390.0,0.18,12,1.5,35.0,1.5
2013,0,1,2550,1.39,720.0,0.28,10,1.25,39.0,1.25
2016,1,0,2010,1.1,240.0,0.12,8,1.0,31.0,1.0
2011,1,0,1710,0.93,840.0,0.49,7,0.88,26.0,-0.88
2020,1,0,210,0.11,210.0,1.0,1,0.12,3.0,-0.12
2013,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
