"id_turma";"discente";"unidade";"media_final";"descricao"
57512133;"afba64c0118bfcc8d5b3987e725ed545";1.0;"5,0";"APROVADO"
57512133;"afba64c0118bfcc8d5b3987e725ed545";2.0;"5,0";"APROVADO"
57512133;"afba64c0118bfcc8d5b3987e725ed545";3.0;"5,0";"APROVADO"
57512128;"afba64c0118bfcc8d5b3987e725ed545";1.0;"1,5";"REPROVADO"
57512128;"afba64c0118bfcc8d5b3987e725ed545";2.0;"1,5";"REPROVADO"
57512128;"afba64c0118bfcc8d5b3987e725ed545";3.0;"1,5";"REPROVADO"
57512132;"afba64c0118bfcc8d5b3987e725ed545";1.0;"2,2";"REPROVADO POR FALTAS"
57512132;"afba64c0118bfcc8d5b3987e725ed545";2.0;"2,2";"REPROVADO POR FALTAS"
57512132;"afba64c0118bfcc8d5b3987e725ed545";3.0;"2,2";"REPROVADO POR FALTAS"
57512129;"afba64c0118bfcc8d5b3987e725ed545";1.0;"8,4";"APROVADO"
57512129;"afba64c0118bfcc8d5b3987e725ed545";2.0;"8,4";"APROVADO"
57512129;"afba64c0118bfcc8d5b3987e725ed545";3.0;"8,4";"APROVADO"
57512315;"afba64c0118bfcc8d5b3987e725ed545";"";"";"TRANCADO"
57512131;"afba64c0118bfcc8d5b3987e725ed545";1.0;"5,0";"APROVADO"
57512131;"afba64c0118bfcc8d5b3987e725ed545";2.0;"5,0";"APROVADO"
57512131;"afba64c0118bfcc8d5b3987e725ed545";3.0;"5,0";"APROVADO"
57512133;"9526e01da587b20211a39b4e66673aea";1.0;"7,7";"APROVADO"
57512133;"9526e01da587b20211a39b4e66673aea";2.0;"7,7";"APROVADO"
57512133;"9526e01da587b20211a39b4e66673aea";3.0;"7,7";"APROVADO"
57512128;"9526e01da587b20211a39b4e66673aea";1.0;"9,2";"APROVADO"
57512128;"9526e01da587b20211a39b4e66673aea";2.0;"9,2";"APROVADO"
57512128;"9526e01da587b20211a39b4e66673aea";3.0;"9,2";"APROVADO"
57512132;"9526e01da587b20211a39b4e66673aea";1.0;"7,6";"APROVADO"
57512132;"9526e01da587b20211a39b4e66673aea";2.0;"7,6";"APROVADO"
57512132;"9526e01da587b20211a39b4e66673aea";3.0;"7,6";"APROVADO"
57512129;"9526e01da587b20211a39b4e66673aea";1.0;"8,3";"APROVADO"
57512129;"9526e01da587b20211a39b4e66673aea";2.0;"8,3";"APROVADO"
57512129;"9526e01da587b20211a39b4e66673aea";3.0;"8,3";"APROVADO"
57512131;"9526e01da587b20211a39b4e66673aea";1.0;"9,0";"APROVADO"
57512131;"9526e01da587b20211a39b4e66673aea";2.0;"9,0";"APROVADO"
