"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"1151159";"01";"2456706";"";"";"24067";"60";"GRADUAÇÃO";"Campus Central";"Departamento de Engenharia da Produção";"2010";"1";"2010/02/22 00:00:00.000";"2010/07/09 00:00:00.000";"24N12";"";"1";"REGULAR";"false";"2010/07/09 09:56:02.550000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151160";"01";"1494715";"";"";"24054";"60";"GRADUAÇÃO";"Campus Central";"Departamento de Engenharia da Produção";"2010";"1";"2010/02/22 00:00:00.000";"2010/07/09 00:00:00.000";"35T12";"";"1";"REGULAR";"false";"2010/07/13 10:01:09.920000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151161";"01";"1229030";"";"";"24061";"60";"GRADUAÇÃO";"Campus Central";"Departamento de Engenharia da Produção";"2010";"1";"2010/02/22 00:00:00.000";"2010/07/09 00:00:00.000";"6T56  5N34";"";"1";"REGULAR";"false";"2010/06/29 18:23:48.559000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151162";"01";"1775593";"";"";"25843";"60";"GRADUAÇÃO";"Campus Central";"Departamento de Engenharia da Produção";"2010";"1";"2010/02/22 00:00:00.000";"2010/07/09 00:00:00.000";"35N34";"";"1";"REGULAR";"false";"2010/07/12 19:47:26.969000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151163";"01";"3646062";"";"";"41598";"45";"STRICTO SENSU";"";"UFRN";"2010";"1";"2010/02/01 00:00:00.000";"2010/07/31 00:00:00.000";"567T6";"1";"20";"REGULAR";"false";"2010/12/30 20:29:41.641000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151164";"01";"345642";"";"";"2055814";"30";"LATO SENSU";"";"CTGÁS-ER";"2010";"1";"2010/05/26 00:00:00.000";"2010/05/29 00:00:00.000";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"false";"2011/02/02 12:21:11.198000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151168";"01";"";"8237";"";"2055655";"30";"LATO SENSU";"";"CTG-AS-ER";"2010";"1";"2010/09/01 00:00:00.000";"2010/09/04 00:00:00.000";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"false";"2014/07/16 12:33:37.016000000";"false";"";"30";"CONSOLIDADA";"";"Presencial"
"1151171";"01";"1350249";"";"";"2055700";"10";"LATO SENSU";"";"CTGAS-ER";"2010";"1";"2010/04/07 00:00:00.000";"2010/04/08 00:00:00.000";"5M2345  4T3456  4N34";"";"41";"REGULAR";"false";"2011/03/10 08:01:34.511000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151172";"01";"1235107";"";"";"2055624";"20";"LATO SENSU";"";"CTGAS-ES";"2010";"1";"2010/04/08 00:00:00.000";"2010/04/10 00:00:00.000";"67M2345  567T3456";"";"41";"REGULAR";"false";"2012/01/03 16:29:12.421000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151173";"01";"";"8234";"";"2055623";"30";"LATO SENSU";"";"CTGAS-ER";"2010";"1";"2010/12/01 00:00:00.000";"2010/12/04 00:00:00.000";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"false";"2012/02/14 05:35:28.623000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
