"discente";"ano_ingresso";"ultimo_periodo";"semestre";"semestre_dividido";"ch_cumprida";"ch_cumprida_dividida";"tempo_relativo";"status";"matricula";"ALGORITMOS E LÓGICA DE PROGRAMAÇÃO";"INTRODUÇÃO À INFORMÁTICA";"FUNDAMENTOS DE MATEMÁTICA";"LÓGICA";"TEORIA GERAL DA ADMINISTRAÇÃO";"PROGRAMAÇÃO";"CÁLCULO DIFERENCIAL E INTEGRAL";"TEORIA GERAL DOS SISTEMAS";"PROGRAMAÇÃO ORIENTADA A OBJETOS I";"ESTRUTURA DE DADOS";"ÁLGEBRA LINEAR";"ORGANIZAÇÃO, SISTEMAS E MÉTODOS";"FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO";"PROGRAMAÇÃO WEB";"ARQUITETURA DE COMPUTADORES";"PROBABILIDADE E ESTATÍSTICA";"BANCO DE DADOS";"ENGENHARIA DE SOFTWARE I";"PROGRAMAÇÃO ORIENTADA A OBJETOS II";"SISTEMAS OPERACIONAIS";"PROJETO E ADMINISTRAÇÃO DE BANCO DE DADOS";"ENGENHARIA DE SOFTWARE II";"REDES DE COMPUTADORES";"EMPREENDEDORISMO EM INFORMÁTICA";"GESTÃO DE PROJETO DE SOFTWARE";"PROGRAMAÇÃO VISUAL";"MATEMÁTICA FINANCEIRA";"SISTEMAS DE APOIO À DECISÃO";"ÉTICA"
"001cea3c82e2010681f2cdeab21e5ecf";2018;20181;1;0.125;330;0.18032786885245902;-0.18032786885245902;-1.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"005c14d7c07bf7980b60c703f99c5ee7";2018;20221;10;1.25;2340;1.278688524590164;-1.278688524590164;-1.0;36.0;1.0;2.0;3.0;3.0;1.0;2.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0
"0107fd69d8cd7e3d30dede96fb68bfe5";2011;20121;3;0.375;870;0.47540983606557374;-0.47540983606557374;-1.0;13.0;2.0;2.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
"014789363f7940922e71e710ee9d22bc";2016;20206;11;1.375;2430;1.3278688524590163;1.3278688524590163;1.0;38.0;2.0;2.0;3.0;2.0;1.0;1.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
"014f0dec46fe7a9c5836527662e1df10";2020;20206;3;0.375;630;0.3442622950819672;-0.3442622950819672;-1.0;10.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
"0168075add041f9eb4bba46d6fdb6387";2018;20181;1;0.125;330;0.18032786885245902;-0.18032786885245902;-1.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"020d362ad9aecb1942935475f1dc5f10";2012;20122;2;0.25;390;0.21311475409836064;-0.21311475409836064;-1.0;6.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"026f9509c92f18fdea01c391a9d401a8";2016;20211;12;1.5;2340;1.278688524590164;1.278688524590164;1.0;37.0;1.0;1.0;4.0;3.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0
"029458a349548473ecd50f3ed942ddf7";2020;20221;6;0.75;1050;0.5737704918032787;-0.5737704918032787;-1.0;16.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;4.0;1.0
"02dad20dec819bcc384cc6fa0b7ecbf9";2009;20141;11;1.375;2340;1.278688524590164;-1.278688524590164;-1.0;35.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;3.0;6.0;1.0;2.0;1.0;2.0;3.0;1.0;0.0;1.0;2.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0
