"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57662633";"01";"1496892";"";"";"42026";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"35M123456";"7";"10";"REGULAR";"false";"2020/07/29 09:23:39.537000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57662634";"01";"349032";"";"";"70982";"60";"GRADUAÇÃO";"Campus Central";"virtual";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567M34";"22";"10";"REGULAR";"false";"2020/07/30 17:23:35.953000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57662635";"01";"2211871";"";"";"42013";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"25T123456";"0";"5";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57662636";"01";"41838";"";"";"42029";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"26M123456";"6";"10";"REGULAR";"false";"2020/07/31 16:42:59.111000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57662637";"01";"3138014";"";"";"42152";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"35T123456";"29";"20";"REGULAR";"false";"2020/07/29 13:20:47.919000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57662637";"01";"1285507";"";"";"42152";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"35T123456";"29";"20";"REGULAR";"false";"2020/07/29 13:20:47.919000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57662638";"01";"3138014";"";"Disciplina reservada para os ingressantes de 2020.1 do curso de letras francês";"67984";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"25M123456 (15/06/2020 - 29/07/2020)";"16";"25";"REGULAR";"false";"2020/07/27 12:55:01.717000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57662639";"01";"2885426";"";"";"67961";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"46T123456";"6";"8";"REGULAR";"false";"2020/07/31 17:02:43.621000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57662640";"01";"1285507";"";"";"48621";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"24T123456";"6";"12";"REGULAR";"false";"2020/07/31 11:01:08.411000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57662640";"01";"3546280";"";"";"48621";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"24T123456";"6";"12";"REGULAR";"false";"2020/07/31 11:01:08.411000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57662641";"01";"1285507";"";"";"42036";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"6M456 7M12345  3N1234";"9";"6";"REGULAR";"false";"2020/07/31 14:13:59.791000000";"false";"";"76";"CONSOLIDADA";"";"Presencial"
"57662642";"01";"1285507";"";"";"42040";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"2M123456  7T123456";"2";"5";"REGULAR";"false";"2020/07/27 10:14:55.796000000";"false";"";"84";"CONSOLIDADA";"";"Presencial"
"57662643";"01";"1805318";"";"";"48623";"60";"GRADUAÇÃO";"Campus Central";"A definir";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"246N1234 (15/06/2020 - 29/07/2020)";"0";"25";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57662644";"02";"1805318";"";"";"48623";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"246T3456 (15/06/2020 - 29/07/2020)";"22";"25";"REGULAR";"false";"2020/07/31 20:45:05.207000000";"false";"";"80";"CONSOLIDADA";"";"Presencial"
"57662645";"01";"1805318";"";"";"42025";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"246N1234";"5";"25";"REGULAR";"false";"2020/07/31 20:42:48.260000000";"false";"";"80";"CONSOLIDADA";"";"Presencial"
"57662646";"01";"1109148";"";"";"48620";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"47T56  47N1234";"14";"10";"REGULAR";"false";"2020/07/31 16:45:30.892000000";"false";"";"78";"CONSOLIDADA";"";"Presencial"
"57662647";"01";"1109148";"";"";"41984";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"56T123456";"4";"10";"REGULAR";"false";"2020/07/31 16:46:05.971000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57662648";"01";"1803529";"";"";"42016";"60";"GRADUAÇÃO";"Campus Central";"Aula remota";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"6T123456 7T12  6N1234";"33";"20";"REGULAR";"false";"2020/07/30 10:55:01.566000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57662651";"01";"1160199";"";"Plano do componente disponível no sigaa.";"42785";"40";"GRADUAÇÃO";"Campus Macaíba";"Ensino remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"3M123456 7M1 (15/06/2020 - 29/07/2020)";"";"40";"REGULAR";"false";"2020/07/31 14:18:25.560000000";"false";"";"48";"CONSOLIDADA";"";"Presencial"
"57662652";"01";"1160199";"";"Plano do componente disponível na página do curso";"42786";"40";"GRADUAÇÃO";"Campus Macaíba";"Ensino remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"7M23456  7T123 (15/06/2020 - 29/07/2020)";"";"40";"REGULAR";"false";"2020/07/31 14:20:41.786000000";"false";"";"48";"CONSOLIDADA";"";"Presencial"
"57662653";"01";"1160199";"";"Plano do componente disponível na pagina do curso";"57809";"25";"GRADUAÇÃO";"Campus Macaíba";"Ensino remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"2456M1  7T4 (15/06/2020 - 29/07/2020)";"26";"40";"REGULAR";"false";"2021/01/19 17:04:12.616000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57662654";"01";"1678705";"";"Assunto a ser abordado: Políticas sociais e planejamento.";"2049447";"30";"GRADUAÇÃO";"Campus Central";"Aula remota.";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"35T234";"19";"30";"REGULAR";"false";"2020/07/31 15:22:15.630000000";"false";"";"39";"CONSOLIDADA";"";"Presencial"
"57662654";"01";"1410678";"";"Assunto a ser abordado: Políticas sociais e planejamento.";"2049447";"30";"GRADUAÇÃO";"Campus Central";"Aula remota.";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"35T234";"19";"30";"REGULAR";"false";"2020/07/31 15:22:15.630000000";"false";"";"39";"CONSOLIDADA";"";"Presencial"
"57662655";"01";"1149540";"";"";"68350";"30";"GRADUAÇÃO";"Campus Central";"DOD";"2020";"5";"2020/06/16 00:00:00.000";"2020/07/16 00:00:00.000";"35T6  35N123 (16/06/2020 - 16/07/2020)";"91";"30";"REGULAR";"false";"2020/08/06 21:40:50.725000000";"false";"";"40";"CONSOLIDADA";"";"Presencial"
"57662657";"01";"1544970";"";"Plano do componente disponível no site do curso";"42448";"60";"GRADUAÇÃO";"Campus Macaíba";"Ensino remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"2M23456  7T56  6N4 7N1234";"64";"70";"REGULAR";"false";"2020/07/29 16:17:35.783000000";"false";"";"77";"CONSOLIDADA";"";"Presencial"
"57662658";"01";"1752956";"";"";"71268";"12";"GRADUAÇÃO";"Campus Central";"DOD";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/24 00:00:00.000";"246M3456 (15/06/2020 - 24/07/2020)";"32";"23";"REGULAR";"false";"2020/07/28 13:09:40.501000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57662658";"01";"2379951";"";"";"71268";"8";"GRADUAÇÃO";"Campus Central";"DOD";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/24 00:00:00.000";"246M3456 (15/06/2020 - 24/07/2020)";"32";"23";"REGULAR";"false";"2020/07/28 13:09:40.501000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
